Catégorie,Question,Réponse
IV. Rattrapages et Compensation,Peut-on valider une année avec des dettes ?,"Oui, si le nombre de crédits manquants est inférieur à un certain seuil."
IV. Rattrapages et Compensation,"Qu'est-ce que une ""dette"" académique ?",Une UE non validée de l'année précédente à reprendre l'année en cours.
IV. Rattrapages et Compensation,Est-il possible de passer en classe supérieure avec
une UE non validée ?,"Oui, si l'étudiant a validé au moins 42 ou 50 crédits sur 60 (selon le règlement)."
IV. Rattrapages et Compensation,Que se passe-t-il en cas d'absence au rattrapage ?,La note de la session normale est maintenue ou un 00 est attribué.
"V. Stages, Mémoires et Soutenances",Le stage est-il obligatoire à SUP'PTIC ?,"Oui, en fin de cycle (Ingénieur, Master, Technicien)."
"V. Stages, Mémoires et Soutenances",Quelle est la durée minimale d'un stage de fin
d'études ?,Entre 2 et 6 mois selon le cycle.
"V. Stages, Mémoires et Soutenances",Qui attribue le maître de stage ?,L'entreprise d'accueil.
"V. Stages, Mémoires et Soutenances",Qui est le directeur de mémoire ?,Un enseignant de SUP'PTIC qui encadre l'étudiant.
"V. Stages, Mémoires et Soutenances",La soutenance est-elle publique ?,"Oui, sauf demande de confidentialité de l'entreprise."
"V. Stages, Mémoires et Soutenances",Quels sont les critères d'évaluation d'une
soutenance ?,"Qualité du document écrit, présentation orale, maîtrise du sujet, réponses aux questions."
"V. Stages, Mémoires et Soutenances",Quelle est la note minimale pour valider un
mémoire ?,ça dépend du règlement Mais 12 /20 est le strict minimum.
"V. Stages, Mémoires et Soutenances",Peut-on soutenir sans avoir validé toutes les UE
théoriques ?,"Non, la validation des UE théoriques est souvent un préalable."
"V. Stages, Mémoires et Soutenances",Comment est composé le jury de
soutenance ?,"Un Président, un Rapporteur et un Examinateur (souvent l'encadreur)."
"V. Stages, Mémoires et Soutenances",Le rapport de stage doit-il être déposé à la
scolarité ?,"Oui, en plusieurs exemplaires physiques et parfois numériques."
"V. Stages, Mémoires et Soutenances",Quel est le rôle du rapporteur ?,Juger la qualité scientifique et technique du travail avant la soutenance.
"V. Stages, Mémoires et Soutenances","Y a-t-il des stages de ""découverte"" ?","Oui, en niveaux intermédiaires (niveau 1 ou 2)."
"V. Stages, Mémoires et Soutenances",Est-ce que le stage compte pour des
crédits ?,"Oui, il représente souvent une part importante des crédits du dernier semestre."
"V. Stages, Mémoires et Soutenances",Que se passe-t-il si le stage est jugé
insuffisant ?,L'étudiant peut être amené à refaire son stage ou à modifier son rapport.
"V. Stages, Mémoires et Soutenances",Le plagiat est-il vérifié dans les mémoires ?,"Oui, SUP'PTIC est très strict sur l'intégrité académique."
"V. Stages, Mémoires et Soutenances",Peut-on faire son stage à l'étranger ?,"Oui, sous réserve d'accord de la Direction des Études."
"V. Stages, Mémoires et Soutenances",Qui paie les frais de stage ?,"L'étudiant, sauf si l'entreprise propose une gratification."
"V. Stages, Mémoires et Soutenances",Quelle est la tenue recommandée pour une
soutenance ?,Tenue professionnelle (costume/cravate ou tailleur).
"V. Stages, Mémoires et Soutenances",Combien de temps dure une présentation
orale ?,Environ 15 à 20 minutes suivies des échanges.
"V. Stages, Mémoires et Soutenances",Le carnet de stage est-il obligatoire ?,"Oui, il doit être rempli et signé par le superviseur en entreprise."
"VI. Discipline, Réclamations et Divers",Comment contester une note d'examen
final ?,Par une requête écrite adressée au Responsable des Étudiants dans les délais fixés après affichage.
"VI. Discipline, Réclamations et Divers",Qu'est-ce qu'une double correction ?,C'est la ré-évaluation d'une copie par un autre enseignant suite à une réclamation fondée.
"VI. Discipline, Réclamations et Divers",Un étudiant peut-il redoubler à
SUP'PTIC ?,"Oui, s'il n'a pas validé le nombre de crédits nécessaires au passage."
"VI. Discipline, Réclamations et Divers",Combien de fois peut-on redoubler un
niveau ?,Généralement une seule fois par niveau.
"VI. Discipline, Réclamations et Divers",Qu'est-ce que l'exclusion définitive ?,"Sanction prise après plusieurs échecs ou faute grave (fraude, indiscipline)."
"VI. Discipline, Réclamations et Divers",Les frais de scolarité doivent-ils être soldés
pour composer ?,"Oui, c'est une condition stricte d'accès aux salles d'examen."
"VI. Discipline, Réclamations et Divers",Où sont publiés les résultats définitifs ?,Sur les panneaux officiels de l'école et dans les groupes WhatsApp de l'école.
"VI. Discipline, Réclamations et Divers",Peut-on obtenir un relevé de notes
provisoire ?,"Oui, après la délibération du jury."
"VI. Discipline, Réclamations et Divers",Quel est le délai pour obtenir son diplôme
après la soutenance ?,"Quelques mois pour l'attestation de réussite, plus long pour le diplôme définitif."
"VI. Discipline, Réclamations et Divers","Les examens de certification (Cisco, Huawei)"
font-ils partie des évaluations ?,Non c'est pour augmenter la porté du profil personnel dans le monde de l'emploi.
"VI. Discipline, Réclamations et Divers","Qu'est-ce qu'un ""procès-verbal"" d'examen ?",Le document officiel consignant toutes les notes et décisions du jury.
"VI. Discipline, Réclamations et Divers",Comment sont gérés les cas de maladie
pendant les examens ?,Un certificat médical d'un hôpital public doit être déposé sous 48h.
"VI. Discipline, Réclamations et Divers",Est-ce que SUP'PTIC organise des examens
blancs ?,Non.
"VI. Discipline, Réclamations et Divers",La participation aux activités sportives est-elle
évaluée ?,"Elle peut l'être dans le cadre de l'UE ""Culture et Sport""."
"VI. Discipline, Réclamations et Divers",Quel est le secret de la réussite à
SUP'PTIC ?,"La régularité au CC, la maîtrise des TP et le respect strict du règlement intérieur."
