Question,Réponse
Quand a lieu la levée des couleurs ?,Chaque lundi matin à 7h 15min.
La participation à la levée des couleurs est-elle évaluée ?,"Oui, elle entre dans le cadre de la discipline."
Le style vestimentaire est-il important ?,"Oui, il fait partie des critères de discipline."
Pourquoi est-il important d'être discipliné lors des délibérations ?,Cela peut sauver l'étudiant et lui éviter le rattrapage.
La tricherie est-elle tolérée ?,"Non, elle est sévèrement sanctionnée."
La présence en cours influe-t-elle sur la discipline ?,"Oui, c'est un critère majeur."
Qui décide des sanctions en cas de fraude ?,Le conseil de discipline.
La discipline peut-elle aider à valider une matière ?,"Oui, lors des délibérations pour éviter le rattrapage."
À quelle heure précise commence la levée des couleurs ?,À 7h 15min.
Quel jour de la semaine a lieu la levée des couleurs ?,Le lundi matin.
Le comportement global de l'étudiant est-il noté ?,Il est pris en compte et entré dans le cadre de la discipline.
Combien de crédits comporte chaque niveau ?,60 crédits.
Quel est le nombre minimum de crédits pour passer au niveau supérieur ?,Au moins 45 crédits.
Que se passe-t-il pour les 15 crédits restants si on en a validé 45 ?,Ils devront être validés l'année académique suivante.
Que se passe-t-il si les crédits restants ne sont pas validés l'année suivante ?,L'étudiant ne pourra pas évoluer en niveau.
Que se passe-t-il si un étudiant a moins de 45 crédits ?,Il doit reprendre le niveau (redoubler).
Quels sont les frais à payer en cas de redoublement ?,La moitié des frais de scolarité.
Peut-on passer avec 40 crédits ?,"Non, il en faut au moins 45."
Un étudiant avec 50 crédits passe-t-il au niveau supérieur ?,"Oui, mais il devra valider les 10 crédits restants plus tard."
Le passage de niveau est-il automatique ?,"Non, il dépend de la validation des crédits."
Combien de crédits faut-il valider au total par an ?,60 crédits.
"Si je valide 45 crédits, suis-je définitivement quitte ?","Non, il faut valider les 15 restants l'année suivante."
Le redoublement coûte-t-il le prix fort ?,"Non, la moitié des frais de scolarité."
L'évolution en niveau est-elle possible avec des dettes de crédits ?,"Oui, si on a au moins 45 crédits, mais pour un an seulement."
Que signifie 'reprendre le niveau' ?,Redoubler l'année d'étude.
Les 60 crédits sont-ils répartis sur les deux semestres ?,"Oui, puisque le niveau couvre 2 semestres."
Le chatbot est-il destiné aux professeurs ?,"Non, il est fait pour faciliter la vie étudiante."
Les TP sont-ils évalués par un seul mode ?,"Non, le mode varie selon le professeur et la matière."
La pièce d'identité est-elle demandée pour les CC ?,"Le texte précise l'accès aux salles d'examen (session normale), mais la discipline s'applique partout."
Le conseil de discipline est-il clément avec les tricheurs ?,"Non, ils sont sanctionnés selon leur forfait."
Le style vestimentaire fait-il partie de la note de CC ?,"Non, il fait partie du cadre de la discipline."
Peut-on éviter le rattrapage grâce à la discipline ?,"Oui, lors des délibérations."
Le planning d'examen inclut-il la disposition des places ?,"Oui, la disposition des étudiants est communiquée."
Les frais de scolarité doivent-ils être payés pour passer les examens ?,"Oui, le reçu de paiement est exigé."
Le professeur peut-il changer la date du CC au dernier moment ?,Le texte dit qu'il communique 'toujours à l'avance'.
Les séances de TD sont-elles facultatives pour le CC ?,Le texte suggère qu'elles font partie du cursus menant au CC.
Le cycle inspecteur est-il plus court ?,"Le texte ne le précise pas, mais il n'a pas de TP."
Quelle est la sanction pour un retard de 10 minutes ?,Il est encore admis (la limite est 15 min).
La levée des couleurs est-elle obligatoire ?,"Oui, elle est prise en compte pour la discipline."
Peut-on valider une matière avec une note de 11 ?,"Cela dépend, car la note requise est soit 10, soit 12."
Qui a décidé de créer le chatbot ?,Les membres du club info de l'école.
