Question                                                                                            , Reponse                                                                                                                                                                                                   , Categorie                                                                                           , SousTheme                                                          , Source
Quel ministère assure la tutelle technique de SUP'PTIC ?                                            , Le Ministère des Postes et Télécommunications (MINPOSTEL).                                                                                                                                                , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/a-propos-de-nous/
Quel ministère assure la tutelle académique de SUP'PTIC ?                                           , Le Ministère de l'Enseignement Supérieur (MINESUP).                                                                                                                                                       , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/a-propos-de-nous/
Quel ministère assure la tutelle financière de SUP'PTIC ?                                           , Le Ministère des Finances (MINFI).                                                                                                                                                                        , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/a-propos-de-nous/
Combien de diplômes SUP'PTIC a-t-elle délivrés depuis sa création ?                                 , SUP'PTIC a délivré plus de 10941 diplômes.                                                                                                                                                                , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/
Qui est l'actuel directeur de SUP'PTIC ?                                                            , Monsieur WATCHING Félix est le directeur de SUP'PTIC depuis le 4 décembre 2017.                                                                                                                           , Introduction                                                                                        , Direction                                                          , https://e-supptic.cm/
Quel est le statut juridique de SUP'PTIC ?                                                          , SUP'PTIC est un établissement public à caractère administratif placé sous la triple tutelle de l'État.                                                                                                    , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC est-elle une université ?                                                                  , Non                                                                                                                                                                                                       , SUP'PTIC est une école supérieure spécialisée dans les domaines des postes                          , télécommunications et TIC.                                         , Introduction                                                                          , Historique de l'établissement           , https://e-supptic.cm/a-propos-de-nous/
Quelle est la vision de SUP'PTIC ?                                                                  , Devenir une école d'excellence en Afrique dans la formation des cadres supérieurs en postes                                                                                                               , télécommunications et TIC.                                                                          , Introduction                                                       , Vision                                                                                , https://e-supptic.cm/a-propos-de-nous/
Quelles sont les valeurs de SUP'PTIC ?                                                              , L'excellence                                                                                                                                                                                              , l'innovation                                                                                        , l'intégrité et le professionnalisme.                               , Introduction                                                                          , Missions de l'établissement             , https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC dispose-t-elle d'un conseil d'administration ?                                             , Oui                                                                                                                                                                                                       , SUP'PTIC est dotée d'un conseil d'administration qui supervise sa gestion.                          , Introduction                                                       , Structure organisationnelle                                                           , https://e-supptic.cm/a-propos-de-nous/
Quel est le décret de création de SUP'PTIC ?                                                        , Le décret présidentiel N°2016/425 du 26 octobre 2016 porte création de l'Ecole Nationale Supérieure des Postes                                                                                            , des Télécommunications et des TIC.                                                                  , Introduction                                                       , Historique de l'établissement                                                         , https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC est-elle membre d'un réseau d'écoles ?                                                     , Oui                                                                                                                                                                                                       , SUP'PTIC est membre du réseau des écoles supérieures du Cameroun.                                   , Introduction                                                       , Structure organisationnelle                                                           , https://e-supptic.cm/a-propos-de-nous/
Quelle est la devise de SUP'PTIC ?                                                                  , L'excellence au service du développement numérique.                                                                                                                                                       , Introduction                                                                                        , Missions de l'établissement                                        , https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC a-t-elle des partenariats internationaux ?                                                 , Oui                                                                                                                                                                                                       , SUP'PTIC collabore avec plusieurs institutions internationales dans le domaine des TIC.             , Introduction                                                       , Structure organisationnelle                                                           , https://e-supptic.cm/a-propos-de-nous/
Quelle est la capacité d'accueil globale de SUP'PTIC ?                                              , SUP'PTIC peut accueillir environ 1500 étudiants sur ses deux campus.                                                                                                                                      , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/
Combien de personnels administratifs compte SUP'PTIC ?                                              , SUP'PTIC compte environ 50 personnels administratifs et techniques.                                                                                                                                       , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/
Combien d'enseignants permanents à SUP'PTIC ?                                                       , SUP'PTIC dispose d'environ 30 enseignants permanents et de nombreux vacataires professionnels.                                                                                                            , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/
SUP'PTIC dispose-t-elle d'un service de recherche ?                                                 , Oui                                                                                                                                                                                                       , SUP'PTIC a une direction de la recherche et de l'innovation.                                        , Introduction                                                       , Recherche                                                                             , https://e-supptic.cm/a-propos-de-nous/
Quels sont les domaines de recherche de SUP'PTIC ?                                                  , Les télécommunications                                                                                                                                                                                    , les réseaux                                                                                         , la cybersécurité                                                   , l'économie numérique et les systèmes d'information.                                   , Introduction                            , Recherche                             , https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC publie-t-elle une revue scientifique ?                                                     , "Oui, SUP'PTIC publie la revue ""TIC & Développement"" qui traite des technologies de l'information et de la communication."                                                                              , Introduction                                                                                        , Recherche                                                          , https://e-supptic.cm/
SUP'PTIC organise-t-elle des colloques scientifiques ?                                              , Oui                                                                                                                                                                                                       , SUP'PTIC organise régulièrement des colloques nationaux et internationaux sur les TIC.              , Introduction                                                       , Recherche                                                                             , https://e-supptic.cm/
Quelle est la structure organisationnelle de SUP'PTIC ?                                             , SUP'PTIC est organisée en une direction générale                                                                                                                                                          , des départements pédagogiques                                                                       , des services administratifs et des centres spécialisés.            , Introduction                                                                          , Structure organisationnelle             , https://e-supptic.cm/a-propos-de-nous/
Combien de départements pédagogiques à SUP'PTIC ?                                                   , SUP'PTIC compte 4 départements pédagogiques : Télécommunications                                                                                                                                          , Réseaux et Informatique                                                                             , Management des Télécoms                                            , et Formation Continue.                                                                , Introduction                            , Structure organisationnelle           , https://e-supptic.cm/
SUP'PTIC a-t-elle une politique environnementale ?                                                  , Oui                                                                                                                                                                                                       , SUP'PTIC s'engage dans une politique de développement durable et de protection de l'environnement.  , Introduction                                                       , Vision                                                                                , https://e-supptic.cm/
Quel est le budget annuel de SUP'PTIC ?                                                             , Les informations budgétaires sont disponibles dans les rapports officiels de l'établissement.                                                                                                             , Introduction                                                                                        , Structure organisationnelle                                        , À vérifier
SUP'PTIC est-elle certifiée ISO ?                                                                   , Non                                                                                                                                                                                                       , mais l'établissement suit des procédures qualité pour l'amélioration continue.                      , Introduction                                                       , Structure organisationnelle                                                           , À vérifier
Quel est le plan stratégique de SUP'PTIC ?                                                          , Le plan stratégique 2020-2025 vise à moderniser l'école et à renforcer son positionnement international.                                                                                                  , Introduction                                                                                        , Vision                                                             , https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC a-t-elle reçu des distinctions ?                                                           , Oui                                                                                                                                                                                                       , SUP'PTIC a reçu plusieurs distinctions pour l'excellence de sa formation.                           , Introduction                                                       , Historique de l'établissement                                                         , https://e-supptic.cm/
Comment SUP'PTIC contribue-t-elle au développement du Cameroun ?                                    , En formant les cadres nécessaires au développement du secteur numérique camerounais.                                                                                                                      , Introduction                                                                                        , Missions de l'établissement                                        , https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC forme-t-elle des étudiants étrangers ?                                                     , Oui                                                                                                                                                                                                       , SUP'PTIC accueille des étudiants de divers pays africains.                                          , Introduction                                                       , Structure organisationnelle                                                           , https://e-supptic.cm/a-propos-de-nous/
Quel est le taux d'insertion professionnelle des diplômés de SUP'PTIC ?                             , Le taux d'insertion professionnelle est d'environ 85% dans les 6 mois suivant l'obtention du diplôme.                                                                                                     , Introduction                                                                                        , Missions de l'établissement                                        , https://e-supptic.cm/
Quelles sont les conditions d'admission pour devenir Agent Technique des Télécommunications ?       , Le niveau requis est le Probatoire scientifique.                                                                                                                                                          , Inscriptions et Admissions                                                                          , Conditions d'admission Agent Technique                             , https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quels sont les prérequis pour intégrer la formation de Technicien des Télécommunications ?          , Il faut avoir un Baccalauréat scientifique ou un diplôme d'agent technique des télécommunications.                                                                                                        , Inscriptions et Admissions                                                                          , Conditions d'admission Technicien                                  , https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quel est le niveau requis pour intégrer la formation ITT ?                                          , Il faut avoir un Baccalauréat scientifique ou technique.                                                                                                                                                  , Inscriptions et Admissions                                                                          , Conditions d'admission ITT                                         , https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Quel est le niveau requis pour accéder au cycle Master en ingénierie ?                              , Il faut avoir une Licence ou Master 1 scientifique ou un diplôme d'Ingénieur des Travaux.                                                                                                                 , Inscriptions et Admissions                                                                          , Conditions admission Master Ingénierie                             , https://e-supptic.cm/ingenieur-des-telecommunications/
Quel est le niveau requis pour devenir Agent d'Exploitation ?                                       , Il faut avoir le BEPC ou GCE O level.                                                                                                                                                                     , Inscriptions et Admissions                                                                          , Conditions admission Agent d'Exploitation                          , https://e-supptic.cm/agents-dexploitation-controleur-des-postes-et-telecommunications/
Quel est le niveau requis pour devenir Contrôleur des Postes et Télécommunications ?                , Il faut avoir tout baccalauréat ou être titulaire d'un diplôme d'Agent d'Exploitation avec un baccalauréat.                                                                                               , Inscriptions et Admissions                                                                          , Conditions admission Contrôleur                                    , https://e-supptic.cm/agents-dexploitation-controleur-des-postes-et-telecommunications/
Quel est le niveau requis pour le premier cycle management à Yaoundé ?                              , Tout baccalauréat est accepté.                                                                                                                                                                            , Inscriptions et Admissions                                                                          , Conditions admission IPT                                           , https://e-supptic.cm/premier-cycle-yaounde/
Quel est le niveau requis pour le second cycle management ?                                         , Toutes Licences ou Master 1 ou un diplôme d'Inspecteur des Télécommunications.                                                                                                                            , Inscriptions et Admissions                                                                          , Conditions admission APT                                           , https://e-supptic.cm/second-cycle-yaounde/
Comment s'effectue l'admission à SUP'PTIC ?                                                         , L'admission se fait par concours pour toutes les filières.                                                                                                                                                , Inscriptions et Admissions                                                                          , Procédure d'admission                                              , https://e-supptic.cm/
Comment se déroule un concours d'entrée à SUP'PTIC ?                                                , Le concours d'entrée comprend des épreuves écrites organisées dans les 10 chefs-lieux de région du Cameroun.                                                                                              , Inscriptions et Admissions                                                                          , Procédure concours                                                 , https://e-supptic.cm/concours-supptic/
Où peut-on passer le concours d'entrée à SUP'PTIC ?                                                 , Le concours peut être passé dans les 10 chefs-lieux de régions du Cameroun.                                                                                                                               , Inscriptions et Admissions                                                                          , Centres d'examen                                                   , https://e-supptic.cm/concours-supptic/
Y a-t-il un concours spécifique pour le Master ?                                                    , Oui il y a un concours d'entrée en première année du Cycle Master des Ingénieurs des Télécommunications et des Administrateurs des Postes et Télécommunications.                                          , Inscriptions et Admissions                                                                          , Concours Master                                                    , https://e-supptic.cm/concours-supptic/
Y a-t-il un concours pour les formations par alternance ?                                           , Oui il existe un concours pour le recrutement des Inspecteurs des Postes et Télécommunications et des Ingénieurs des Travaux des Télécommunications dans le cadre de la formation par Alternance.         , Inscriptions et Admissions                                                                          , Concours Alternance                                                , https://e-supptic.cm/concours-supptic/
Où peut-on trouver les résultats des concours ?                                                     , Les résultats des concours sont disponibles sur le site web de SUP'PTIC à la section Résultats concours.                                                                                                  , Inscriptions et Admissions                                                                          , Résultats concours                                                 , https://e-supptic.cm/resultats-concours/
Quel est le calendrier des inscriptions à SUP'PTIC ?                                                , Les inscriptions ont généralement lieu de janvier à mars pour la rentrée d'octobre.                                                                                                                       , Inscriptions et Admissions                                                                          , Procédure d'admission                                              , https://e-supptic.cm/
Quels sont les frais d'inscription au concours ?                                                    , Les frais d'inscription au concours sont de 15 000 FCFA pour toutes les filières.                                                                                                                         , Inscriptions et Admissions                                                                          , Frais formation                                                    , https://e-supptic.cm/concours-supptic/
Peut-on s'inscrire en ligne au concours SUP'PTIC ?                                                  , Oui                                                                                                                                                                                                       , l'inscription au concours se fait en ligne sur le site web de SUP'PTIC.                             , Inscriptions et Admissions                                         , Procédure d'admission                                                                 , https://e-supptic.cm/concours-supptic/
Quels documents faut-il pour s'inscrire au concours ?                                               , Une copie du diplôme                                                                                                                                                                                      , une copie de la carte nationale d'identité                                                          , 4 photos d'identité et le reçu de paiement des frais d'inscription., Inscriptions et Admissions                                                            , Documents requis                        , https://e-supptic.cm/concours-supptic/
Quelles sont les épreuves du concours d'entrée en ingénierie ?                                      , Mathématiques                                                                                                                                                                                             , Physique                                                                                            , Français et Culture générale.                                      , Inscriptions et Admissions                                                            , Procédure concours                      , https://e-supptic.cm/concours-supptic/
Quelles sont les épreuves du concours d'entrée en management ?                                      , Culture générale                                                                                                                                                                                          , Mathématiques                                                                                       , Français et Anglais.                                               , Inscriptions et Admissions                                                            , Procédure concours                      , https://e-supptic.cm/concours-supptic/
Y a-t-il une limite d'âge pour s'inscrire au concours ?                                             , Non                                                                                                                                                                                                       , il n'y a pas de limite d'âge pour s'inscrire aux concours de SUP'PTIC.                              , Inscriptions et Admissions                                         , Conditions d'admission Agent Technique                                                , https://e-supptic.cm/concours-supptic/
Les candidats étrangers peuvent-ils passer le concours ?                                            , Oui                                                                                                                                                                                                       , les candidats étrangers peuvent passer le concours dans les mêmes conditions.                       , Inscriptions et Admissions                                         , Étudiants étrangers                                                                   , https://e-supptic.cm/concours-supptic/
Quel est le taux de réussite au concours d'entrée ?                                                 , Le taux de réussite varie entre 15% et 20% selon les années et les filières.                                                                                                                              , Inscriptions et Admissions                                                                          , Procédure concours                                                 , https://e-supptic.cm/
Y a-t-il des annales de concours disponibles ?                                                      , Oui                                                                                                                                                                                                       , des annales des concours précédents sont disponibles au service de la scolarité.                    , Inscriptions et Admissions                                         , Procédure concours                                                                    , https://e-supptic.cm/
Peut-on se préparer au concours de SUP'PTIC dans un centre de préparation ?                         , Oui                                                                                                                                                                                                       , plusieurs centres de préparation proposent des cours de préparation aux concours de SUP'PTIC.       , Inscriptions et Admissions                                         , Procédure concours                                                                    , À vérifier
Comment sont corrigées les copies du concours ?                                                     , Les copies sont anonymes et corrigées par un jury composé d'enseignants de SUP'PTIC et d'autres institutions.                                                                                             , Inscriptions et Admissions                                                                          , Procédure concours                                                 , https://e-supptic.cm/concours-supptic/
Y a-t-il un oral après les épreuves écrites ?                                                       , Non                                                                                                                                                                                                       , l'admission se fait uniquement sur la base des épreuves écrites.                                    , Inscriptions et Admissions                                         , Procédure concours                                                                    , https://e-supptic.cm/concours-supptic/
Peut-on passer le concours plusieurs fois ?                                                         , Oui                                                                                                                                                                                                       , il n'y a pas de limitation du nombre de tentatives.                                                 , Inscriptions et Admissions                                         , Procédure concours                                                                    , https://e-supptic.cm/concours-supptic/
Quand sont publiés les résultats du concours ?                                                      , Les résultats sont publiés généralement 4 à 6 semaines après la date du concours.                                                                                                                         , Inscriptions et Admissions                                                                          , Résultats concours                                                 , https://e-supptic.cm/resultats-concours/
Comment sont classés les candidats admis ?                                                          , Les candidats sont classés par ordre de mérite selon leur note globale.                                                                                                                                   , Inscriptions et Admissions                                                                          , Procédure concours                                                 , https://e-supptic.cm/concours-supptic/
Y a-t-il une liste d'attente pour les admissions ?                                                  , Oui                                                                                                                                                                                                       , une liste d'attente est établie pour pallier les désistements.                                      , Inscriptions et Admissions                                         , Procédure d'admission                                                                 , https://e-supptic.cm/concours-supptic/
Que faire en cas d'échec au concours ?                                                              , On peut se réinscrire l'année suivante ou opter pour une autre formation.                                                                                                                                 , Inscriptions et Admissions                                                                          , Procédure concours                                                 , À vérifier
Les frais de scolarité sont-ils les mêmes à Yaoundé et Buea ?                                       , Les informations détaillées sur les frais de scolarité doivent être vérifiées auprès de l'administration.                                                                                                 , Inscriptions et Admissions                                                                          , Frais de scolarité                                                 , À vérifier
Y a-t-il des bourses d'études à SUP'PTIC ?                                                          , Les informations sur les bourses et aides financières doivent être vérifiées auprès du service de scolarité.                                                                                              , Inscriptions et Admissions                                                                          , Bourses                                                            , À vérifier
Comment payer les frais de scolarité ?                                                              , Les modalités de paiement des frais de scolarité sont à vérifier auprès du service financier.                                                                                                             , Inscriptions et Admissions                                                                          , Paiements                                                          , À vérifier
Peut-on payer les frais en plusieurs fois ?                                                         , Les échéanciers de paiement sont à vérifier auprès du service financier de SUP'PTIC.                                                                                                                      , Inscriptions et Admissions                                                                          , Modalités de paiement                                              , À vérifier
Y a-t-il des réductions pour les familles nombreuses ?                                              , Les informations sur les réductions et aides doivent être vérifiées auprès de l'administration.                                                                                                           , Inscriptions et Admissions                                                                          , Aides financières                                                  , À vérifier
Que comprennent les frais de scolarité ?                                                            , Les frais de scolarité couvrent les cours l'accès aux infrastructures et ressources pédagogiques.                                                                                                         , Inscriptions et Admissions                                                                          , Frais de scolarité                                                 , À vérifier
Les frais de scolarité incluent-ils les manuels ?                                                   , Les détails sur ce qui est inclus dans les frais de scolarité sont à vérifier auprès de l'administration.                                                                                                 , Inscriptions et Admissions                                                                          , Frais de scolarité                                                 , À vérifier
