ID;Catégorie;Question
42;Réinscription et cas particuliers;Comment demander un transfert d'une autre école vers SUP'PTIC ?
43;Réinscription et cas particuliers;Est-il possible de se réorienter après une première année ?
44;Réinscription et cas particuliers;Quelles sont les conditions pour une reprise d'études après une interruption ?
45;Réinscription et cas particuliers;Comment faire une demande de suspension temporaire d'études ?
46;Réinscription et cas particuliers;Peut-on changer de filière en cours de cycle ?
47;Réinscription et cas particuliers;Quelles sont les formalités pour un redoublant ?
48;Réinscription et cas particuliers;Comment valider ses acquis pour un transfert ?
49;Réinscription et cas particuliers;Quelles sont les dates limites de réinscription ?
50;Réinscription et cas particuliers;Un étudiant exclu peut-il demander une réadmission ?
51;Étudiants étrangers;Quelles sont les conditions d'admission pour les étudiants non-camerounais ?
52;Étudiants étrangers;Comment obtenir un visa étudiant pour venir étudier à SUP'PTIC ?
53;Étudiants étrangers;Quelle est la procédure d'équivalence des diplômes étrangers ?
54;Étudiants étrangers;Y a-t-il un quota pour les étudiants internationaux ?
55;Étudiants étrangers;Les frais de scolarité sont-ils différents pour les étrangers ?
56;Étudiants étrangers;Quel accompagnement pour l'installation des étudiants étrangers ?
57;Étudiants étrangers;Faut-il passer un test de langue française ou anglaise ?
58;Étudiants étrangers;Où déposer le dossier pour les candidats hors du Cameroun ?
59;Étudiants étrangers;Quels sont les documents spécifiques pour les étudiants de la zone CEMAC ?
60;Étudiants étrangers;Existe-t-il des partenariats avec des écoles étrangères ?
61;Orientation et choix de filière;Quelles sont les différentes filières proposées à SUP'PTIC ?
62;Orientation et choix de filière;Comment choisir entre Télécoms, Réseaux et Informatique ?
63;Orientation et choix de filière;Existe-t-il des passerelles entre les différentes filières ?
64;Orientation et choix de filière;En quoi consiste le test d'aptitude à l'entrée ?
65;Orientation et choix de filière;Quels sont les débouchés professionnels pour chaque filière ?
66;Orientation et choix de filière;Est-il possible de suivre des conseils d'orientation avant l'inscription ?
67;Orientation et choix de filière;Quelle est la filière la plus demandée ?
68;Orientation et choix de filière;Comment se préparer au concours d'entrée ?
69;Orientation et choix de filière;Y a-t-il une journée portes ouvertes pour découvrir les programmes ?
70;Orientation et choix de filière;Quelles compétences sont évaluées lors de l'entretien ?
71;Cas particuliers;Quelles dispositions sont prises pour les étudiants en situation de handicap ?
72;Cas particuliers;Est-il possible de cumuler deux diplômes simultanément ?
73;Cas particuliers;Comment justifier une reprise d'études après 5 ans d'arrêt ?
74;Cas particuliers;Existe-t-il un aménagement du temps pour les étudiants travailleurs ?
75;Cas particuliers;Quels sont les soutiens spécifiques pour les étudiants en difficulté sociale ?
76;Cas particuliers;Comment déclarer un besoin spécifique lors de l'inscription ?
77;Cas particuliers;Le campus de Yaoundé est-il accessible aux personnes à mobilité réduite ?
78;Cas particuliers;Peut-on s'inscrire en tant qu'auditeur libre ?
79;Cas particuliers;Quelles sont les règles pour les sportifs de haut niveau ?
80;Cas particuliers;Comment bénéficier d'un régime spécial d'études ?
81;Plateformes numériques;Quel est l'URL du portail des inscriptions ?
82;Plateformes numériques;Comment créer un compte sur la plateforme numérique ?
83;Plateformes numériques;J'ai oublié mon mot de passe pour l'inscription en ligne, que faire ?
84;Plateformes numériques;Existe-t-il un tutoriel vidéo pour la procédure d'inscription ?
85;Plateformes numériques;Pourquoi ma photo n'est-elle pas acceptée sur le site ?
86;Plateformes numériques;Comment uploader des fichiers volumineux sur le portail ?
87;Plateformes numériques;Comment recevoir la confirmation d'inscription par email ?
88;Plateformes numériques;Le site est-il accessible sur mobile ?
89;Plateformes numériques;Que faire en cas de bug lors du paiement en ligne ?
90;Plateformes numériques;Qui contacter pour une assistance technique sur la plateforme ?
91;Questions Générales;Où se trouve le bureau des admissions à Yaoundé ?
92;Questions Générales;Quels sont les horaires d'ouverture du service de scolarité ?
93;Questions Générales;Peut-on s'inscrire par procuration ?
94;Questions Générales;Quelle est la différence entre le cycle de technicien et celui d'ingénieur ?
95;Questions Générales;Quand sont publiés les résultats du concours ?
96;Questions Générales;Comment retirer sa fiche de candidature ?
97;Questions Générales;Y a-t-il des centres d'examen dans d'autres villes que Yaoundé ?
98;Questions Générales;Combien de fois peut-on présenter le concours ?
99;Questions Générales;Quel est le taux de réussite moyen au concours ?
100;Questions Générales;À qui s'adresser pour des informations de dernière minute sur les admissions ?
